last_name,first_name,year,Hitting+,Hitting+ Percentile,QOC+,QOC+ Percentile,PD+,PD+ Percentile,xK%,xBB%,xBIP%
Castro,Starlin,2019,101,0.526,95,0.373,98,0.352,0.168,0.063,0.769
Murphy,Tom,2019,100,0.523,107,0.738,99,0.393,0.282,0.091,0.628
Alfaro,Jorge,2019,100,0.520,117,0.905,88,0.008,0.313,0.035,0.652
Gamel,Ben,2019,100,0.520,97,0.449,104,0.783,0.222,0.105,0.673
Profar,Jurickson,2019,100,0.517,93,0.332,103,0.717,0.181,0.091,0.728
Fletcher,David,2019,100,0.512,87,0.153,105,0.863,0.120,0.091,0.789
Mercer,Jordy,2019,100,0.510,98,0.478,100,0.472,0.213,0.081,0.705
Stewart,DJ,2019,100,0.509,96,0.420,105,0.832,0.222,0.110,0.668
Drury,Brandon,2019,100,0.508,106,0.701,95,0.157,0.260,0.064,0.675
Astudillo,Willians,2019,100,0.506,84,0.089,99,0.405,0.034,0.037,0.929
Austin,Tyler,2019,100,0.501,118,0.914,100,0.521,0.358,0.116,0.526
Buxton,Byron,2019,100,0.496,104,0.652,94,0.126,0.245,0.057,0.699
Grisham,Trent,2019,100,0.494,98,0.479,103,0.762,0.237,0.107,0.656
Pina,Manny,2019,100,0.491,100,0.545,101,0.608,0.246,0.098,0.656
Berti,Jon,2019,100,0.491,100,0.527,102,0.638,0.242,0.099,0.659
Smith,Dominic,2019,100,0.490,98,0.487,100,0.526,0.224,0.087,0.689
O'Hearn,Ryan,2019,100,0.490,99,0.503,101,0.592,0.232,0.093,0.674
Newman,Kevin,2019,100,0.490,88,0.185,100,0.473,0.110,0.059,0.831
Pollock,AJ,2019,99,0.487,103,0.633,97,0.233,0.251,0.071,0.678
Narvaez,Omar,2019,99,0.485,92,0.288,104,0.828,0.186,0.102,0.712
Osuna,Jose,2019,99,0.479,93,0.327,101,0.573,0.180,0.080,0.740
Gonzalez,Marwin,2019,99,0.478,98,0.481,97,0.266,0.210,0.065,0.725
Healy,Ryon,2019,99,0.476,103,0.625,95,0.146,0.243,0.059,0.698
Adrianza,Ehire,2019,99,0.472,91,0.248,101,0.587,0.155,0.076,0.769
Vazquez,Christian,2019,99,0.468,94,0.359,98,0.346,0.179,0.065,0.756
Dietrich,Derek,2019,99,0.464,103,0.615,100,0.474,0.265,0.093,0.643
Dixon,Brandon,2019,99,0.464,115,0.867,92,0.054,0.320,0.061,0.620
Guzman,Ronald,2019,99,0.462,108,0.754,96,0.222,0.291,0.079,0.630
Schoop,Jonathan,2019,99,0.459,106,0.687,92,0.056,0.258,0.047,0.695
Tucker,Cole,2019,99,0.458,95,0.368,103,0.752,0.213,0.101,0.687
Davis,Khris,2019,99,0.455,105,0.670,101,0.560,0.287,0.103,0.610
Hicks,Aaron,2019,98,0.447,103,0.611,105,0.844,0.292,0.127,0.581
Upton,Justin,2019,98,0.446,107,0.729,101,0.540,0.305,0.106,0.589
Cabrera,Miguel,2019,98,0.438,97,0.447,98,0.294,0.212,0.068,0.720
Grichuk,Randal,2019,98,0.438,102,0.587,96,0.194,0.245,0.066,0.689
Granderson,Curtis,2019,98,0.436,95,0.380,105,0.853,0.234,0.115,0.650
Panik,Joe,2019,98,0.434,81,0.053,109,0.970,0.091,0.106,0.803
Rosario,Amed,2019,98,0.433,98,0.476,95,0.144,0.210,0.052,0.738
Ramirez,Harold,2019,98,0.430,99,0.502,94,0.099,0.214,0.047,0.740
Zimmerman,Ryan,2019,98,0.426,100,0.523,101,0.584,0.256,0.098,0.646
Kipnis,Jason,2019,98,0.426,93,0.316,100,0.502,0.189,0.078,0.733
Parra,Gerardo,2019,98,0.420,93,0.303,100,0.530,0.189,0.080,0.731
Perez,Roberto,2019,98,0.419,101,0.566,104,0.828,0.287,0.124,0.589
Bauers,Jake,2019,98,0.419,93,0.311,105,0.868,0.221,0.114,0.665
Nola,Austin,2019,98,0.416,93,0.312,104,0.804,0.215,0.106,0.679
Gardner,Brett,2019,97,0.413,92,0.275,104,0.801,0.203,0.103,0.694
Rengifo,Luis,2019,97,0.409,97,0.461,100,0.477,0.237,0.087,0.676
Williams,Nick,2019,97,0.408,102,0.604,93,0.068,0.246,0.048,0.705
Frazier,Todd,2019,97,0.402,95,0.388,103,0.711,0.234,0.102,0.663
Romine,Austin,2019,97,0.399,95,0.385,93,0.078,0.184,0.036,0.780
Bradley Jr.,Jackie,2019,97,0.398,105,0.674,99,0.372,0.294,0.092,0.615
Castillo,Welington,2019,97,0.397,102,0.608,99,0.387,0.275,0.089,0.636
Gregorius,Didi,2019,97,0.393,93,0.312,96,0.220,0.176,0.053,0.770
McKinney,Billy,2019,97,0.387,99,0.506,98,0.332,0.245,0.078,0.677
Stewart,Christin,2019,97,0.386,100,0.544,97,0.275,0.253,0.075,0.672
Hernandez,Enrique,2019,97,0.386,96,0.395,101,0.569,0.230,0.091,0.678
Beckham,Gordon,2019,97,0.384,101,0.563,96,0.189,0.252,0.067,0.681
Pillar,Kevin,2019,97,0.383,92,0.270,91,0.034,0.137,0.015,0.848
Wieters,Matt,2019,97,0.376,92,0.295,103,0.745,0.216,0.101,0.683
Hernandez,Cesar,2019,97,0.374,89,0.195,101,0.571,0.162,0.076,0.762
McGuire,Reese,2019,96,0.373,96,0.401,92,0.060,0.193,0.035,0.772
Robles,Victor,2019,96,0.371,94,0.355,98,0.348,0.209,0.071,0.720
Bote,David,2019,96,0.366,103,0.628,100,0.452,0.294,0.097,0.609
Candelario,Jeimer,2019,96,0.364,97,0.458,99,0.404,0.244,0.083,0.673
McCann,Brian,2019,96,0.363,85,0.120,106,0.913,0.166,0.109,0.725
Garcia,Greg,2019,96,0.355,85,0.112,108,0.963,0.181,0.123,0.695
Murphy,Daniel,2019,96,0.354,84,0.101,102,0.658,0.123,0.074,0.803
Segura,Jean,2019,96,0.354,88,0.171,98,0.340,0.139,0.055,0.805
Gordon,Alex,2019,96,0.352,90,0.216,102,0.642,0.188,0.087,0.725
Cuthbert,Cheslor,2019,96,0.352,93,0.307,100,0.457,0.207,0.079,0.714
Kiermaier,Kevin,2019,96,0.351,96,0.397,94,0.132,0.209,0.050,0.741
Thaiss,Matt,2019,96,0.346,97,0.443,106,0.903,0.288,0.134,0.578
Franco,Maikel,2019,96,0.346,91,0.247,99,0.380,0.183,0.068,0.750
Moore,Dylan,2019,96,0.345,96,0.419,102,0.654,0.258,0.104,0.639
Taylor,Chris,2019,96,0.341,103,0.611,97,0.256,0.284,0.080,0.635
Crawford,Brandon,2019,96,0.341,94,0.338,101,0.586,0.230,0.092,0.678
Goodwin,Brian,2019,96,0.339,100,0.535,99,0.401,0.272,0.089,0.639
Hosmer,Eric,2019,95,0.337,96,0.420,99,0.391,0.242,0.082,0.676
Culberson,Charlie,2019,95,0.336,106,0.693,90,0.018,0.281,0.037,0.682
Cabrera,Melky,2019,95,0.333,85,0.119,99,0.392,0.121,0.055,0.823
Tilson,Charlie,2019,95,0.322,95,0.394,97,0.230,0.230,0.066,0.704
Holt,Brock,2019,95,0.320,88,0.191,102,0.629,0.187,0.086,0.727
Molina,Yadier,2019,95,0.317,87,0.170,97,0.253,0.145,0.049,0.806
Puello,Cesar,2019,95,0.316,102,0.607,96,0.188,0.286,0.074,0.640
Farmer,Kyle,2019,95,0.313,101,0.570,93,0.081,0.265,0.054,0.681
Hampson,Garrett,2019,95,0.311,91,0.244,105,0.834,0.233,0.112,0.655
Naylor,Josh,2019,95,0.309,91,0.251,100,0.526,0.208,0.083,0.708
Lugo,Dawel,2019,94,0.303,94,0.335,91,0.041,0.190,0.028,0.782
Plawecki,Kevin,2019,94,0.301,86,0.129,103,0.711,0.169,0.088,0.743
Aguilar,Jesus,2019,94,0.297,91,0.265,103,0.731,0.234,0.104,0.663
Posey III,Buster,2019,94,0.296,85,0.124,102,0.643,0.161,0.081,0.757
Alberto,Hanser,2019,94,0.295,86,0.144,92,0.054,0.111,0.015,0.874
Beckham,Tim,2019,94,0.294,100,0.524,98,0.309,0.279,0.083,0.638
Wade,Tyler,2019,94,0.294,94,0.361,98,0.358,0.237,0.078,0.685
Maile,Luke,2019,94,0.291,91,0.264,100,0.498,0.218,0.084,0.698
Garcia,Leury,2019,94,0.289,95,0.371,93,0.077,0.215,0.043,0.743
Spangenberg,Cory,2019,94,0.288,102,0.586,93,0.076,0.276,0.056,0.668
France,Ty,2019,94,0.287,91,0.260,99,0.428,0.211,0.077,0.711
Mondesi,Adalberto,2019,94,0.286,109,0.771,90,0.022,0.319,0.049,0.632
Travis,Sam,2019,94,0.285,90,0.220,97,0.279,0.185,0.061,0.755
Crawford,J.P.,2019,94,0.284,88,0.172,104,0.789,0.205,0.102,0.693
DeShields,Delino,2019,94,0.282,92,0.279,101,0.587,0.231,0.093,0.676
Wong,Kolten,2019,94,0.281,86,0.135,101,0.538,0.162,0.075,0.763
Peralta,David,2019,94,0.281,92,0.272,97,0.287,0.207,0.066,0.727
Heredia,Guillermo,2019,94,0.276,92,0.296,102,0.647,0.243,0.100,0.657
Gomes,Yan,2019,94,0.275,93,0.319,98,0.307,0.225,0.072,0.703
Cervelli,Francisco,2019,93,0.269,91,0.259,103,0.721,0.240,0.104,0.656
Piscotty,Stephen,2019,93,0.266,96,0.411,96,0.223,0.249,0.070,0.681
Cordell,Ryan,2019,93,0.256,99,0.494,98,0.296,0.281,0.083,0.636
Rickard,Joey,2019,93,0.256,87,0.159,103,0.736,0.202,0.097,0.701
Duffy,Matt,2019,93,0.253,83,0.082,106,0.906,0.184,0.112,0.704
Jones,Adam,2019,93,0.251,96,0.399,92,0.055,0.229,0.041,0.731
Ervin,Phillip,2019,93,0.250,92,0.300,101,0.537,0.244,0.093,0.663
Dubon,Mauricio,2019,93,0.249,88,0.188,95,0.147,0.164,0.042,0.793
Duggar,Steven,2019,93,0.248,92,0.299,100,0.469,0.241,0.087,0.673
Andrus,Elvis,2019,93,0.248,89,0.197,97,0.258,0.185,0.059,0.756
Lucroy,Jonathan,2019,93,0.243,83,0.080,102,0.693,0.157,0.084,0.759
Almora Jr.,Albert,2019,93,0.242,93,0.317,94,0.091,0.213,0.045,0.742
Davis,Chris,2019,93,0.242,110,0.794,98,0.356,0.367,0.106,0.527
Martin,Russell,2019,93,0.240,92,0.291,104,0.798,0.268,0.117,0.615
Kang,Jung Ho,2019,93,0.236,105,0.671,96,0.184,0.325,0.082,0.593
Castro,Harold,2019,92,0.232,94,0.344,92,0.044,0.215,0.034,0.751
Ruiz,Rio,2019,92,0.226,87,0.150,103,0.742,0.210,0.099,0.691
Zobrist,Ben,2019,92,0.223,75,0.018,113,0.998,0.150,0.141,0.709
Chirinos,Robinson,2019,92,0.223,99,0.510,99,0.377,0.299,0.093,0.607
Long Jr.,Shed,2019,92,0.217,94,0.361,98,0.354,0.261,0.083,0.656
Urias,Luis,2019,92,0.213,89,0.195,102,0.659,0.229,0.098,0.673
Rojas,Miguel,2019,92,0.210,83,0.086,100,0.458,0.151,0.066,0.782
Peraza,Jose,2019,92,0.207,83,0.083,97,0.251,0.131,0.046,0.823
Tapia,Raimel,2019,92,0.201,92,0.283,93,0.079,0.213,0.043,0.744
Chavis,Michael,2019,92,0.200,107,0.728,93,0.090,0.340,0.073,0.587
Flowers,Tyler,2019,92,0.198,104,0.643,98,0.293,0.335,0.095,0.570
Alonso,Yonder,2019,91,0.197,85,0.124,103,0.743,0.209,0.099,0.692
Descalso,Daniel,2019,91,0.192,88,0.192,106,0.907,0.269,0.130,0.600
Margot,Manuel,2019,91,0.192,86,0.143,103,0.713,0.219,0.099,0.682
Engel,Adam,2019,91,0.190,100,0.548,94,0.094,0.297,0.064,0.640
Rodriguez,Sean,2019,91,0.187,93,0.308,105,0.863,0.301,0.131,0.568
Russell,Addison,2019,91,0.185,96,0.396,96,0.217,0.272,0.074,0.655
Mejia,Francisco,2019,91,0.185,93,0.303,92,0.051,0.220,0.038,0.743
Reyes,Pablo,2019,91,0.183,82,0.066,105,0.874,0.195,0.109,0.696
Riddle,JT,2019,91,0.178,102,0.591,92,0.052,0.304,0.057,0.639
White,Tyler,2019,91,0.174,83,0.080,106,0.889,0.216,0.116,0.668
Maldonado,Martin,2019,91,0.171,90,0.238,98,0.310,0.237,0.074,0.689
Wendle,Joey,2019,91,0.171,87,0.154,97,0.236,0.191,0.058,0.751
Stallings,Jacob,2019,90,0.169,91,0.256,94,0.130,0.224,0.053,0.723
Diaz,Elias,2019,90,0.169,84,0.088,103,0.706,0.197,0.094,0.709
Iglesias,Jose,2019,90,0.166,83,0.087,93,0.084,0.129,0.025,0.846
Bour,Justin,2019,90,0.164,95,0.379,98,0.294,0.282,0.083,0.635
Diaz,Isan,2019,90,0.160,87,0.164,105,0.870,0.265,0.124,0.612
Rondon,Jose,2019,90,0.158,88,0.173,100,0.465,0.228,0.084,0.689
Peterson,Jace,2019,90,0.156,94,0.356,98,0.326,0.282,0.086,0.632
Shaw,Travis,2019,90,0.154,92,0.278,101,0.536,0.276,0.100,0.624
Galvis,Freddy,2019,90,0.154,93,0.320,93,0.083,0.246,0.051,0.704
Hechavarria,Adeiny,2019,90,0.152,90,0.222,93,0.074,0.211,0.042,0.747
Strange-Gordon,Dee,2019,90,0.144,83,0.073,95,0.136,0.136,0.034,0.830
Martini,Nick,2019,89,0.140,81,0.057,104,0.817,0.195,0.103,0.702
Haseley,Adam,2019,89,0.137,91,0.254,97,0.256,0.253,0.074,0.673
Barnhart,Tucker,2019,89,0.136,83,0.078,102,0.689,0.205,0.094,0.701
Zunino,Mike,2019,89,0.136,103,0.620,94,0.097,0.335,0.073,0.592
Pujols,Albert,2019,89,0.133,82,0.061,100,0.525,0.172,0.075,0.753
Garneau,Dustin,2019,89,0.129,84,0.089,100,0.514,0.200,0.081,0.719
Sanchez,Yolmer,2019,89,0.128,85,0.120,98,0.352,0.208,0.071,0.721
Brosseau,Mike,2019,89,0.127,89,0.207,94,0.124,0.224,0.052,0.724
Herrera,Odubel,2019,89,0.127,92,0.273,94,0.112,0.248,0.056,0.697
Wilkerson,Stevie,2019,89,0.124,91,0.243,97,0.278,0.259,0.077,0.665
Allen,Greg,2019,89,0.124,86,0.138,98,0.336,0.217,0.072,0.711
Freeman,Mike,2019,89,0.122,90,0.219,97,0.265,0.251,0.074,0.675
Barnes,Austin,2019,88,0.122,83,0.086,103,0.732,0.227,0.102,0.671
Lagares,Juan,2019,88,0.121,87,0.156,97,0.258,0.222,0.067,0.711
Prado,Martin,2019,88,0.117,79,0.038,100,0.477,0.141,0.066,0.793
O'Neill,Tyler,2019,88,0.112,108,0.741,92,0.048,0.369,0.069,0.562
Ramos,Wilson,2019,88,0.112,82,0.063,97,0.270,0.163,0.055,0.781
Robertson,Daniel,2019,88,0.108,83,0.077,101,0.600,0.216,0.090,0.694
Difo,Wilmer,2019,88,0.106,86,0.129,98,0.342,0.226,0.075,0.699
Phegley,Josh,2019,87,0.101,87,0.147,95,0.149,0.218,0.054,0.727
Camargo,Johan,2019,87,0.100,85,0.114,95,0.162,0.203,0.052,0.745
Marisnick,Jake,2019,87,0.099,90,0.240,94,0.107,0.256,0.057,0.687
Gonzalez,Carlos,2019,87,0.097,93,0.324,97,0.289,0.304,0.088,0.608
Hedges,Austin,2019,87,0.095,94,0.336,95,0.145,0.293,0.070,0.636
Greiner,Grayson,2019,87,0.095,91,0.266,98,0.301,0.291,0.086,0.624
Simmons,Andrelton,2019,87,0.094,75,0.016,102,0.630,0.118,0.071,0.811
Nunez,Eduardo,2019,87,0.094,79,0.039,97,0.240,0.142,0.048,0.810
Gonzalez,Erik,2019,87,0.093,88,0.179,94,0.126,0.238,0.055,0.707
Dyson,Jarrod,2019,87,0.091,79,0.040,103,0.763,0.205,0.100,0.695
Arcia,Orlando,2019,86,0.090,84,0.102,98,0.322,0.225,0.073,0.702
Perez,Hernan,2019,86,0.090,89,0.201,93,0.072,0.241,0.048,0.711
Jay,Jon,2019,86,0.089,80,0.044,96,0.188,0.148,0.043,0.808
Gyorko,Jedd,2019,86,0.087,83,0.076,101,0.535,0.233,0.090,0.677
Rodriguez,Ronny,2019,86,0.084,100,0.533,88,0.010,0.321,0.040,0.639
Lopes,Tim,2019,86,0.083,89,0.203,96,0.177,0.267,0.068,0.665
Wolters,Tony,2019,86,0.083,78,0.035,101,0.590,0.186,0.083,0.731
Holaday,Bryan,2019,86,0.081,77,0.027,103,0.716,0.186,0.092,0.722
Inciarte,Ender,2019,86,0.081,79,0.039,99,0.434,0.182,0.071,0.746
Quinn,Roman,2019,85,0.078,91,0.269,98,0.310,0.310,0.090,0.600
Harrison,Josh,2019,85,0.073,87,0.158,91,0.038,0.230,0.036,0.735
Locastro,Tim,2019,85,0.073,83,0.074,96,0.204,0.214,0.060,0.726
Lopez,Nicky,2019,85,0.071,76,0.023,98,0.361,0.137,0.056,0.806
Smith Jr.,Dwight,2019,85,0.071,85,0.107,99,0.396,0.259,0.086,0.656
Cozart,Zack,2019,85,0.069,77,0.027,102,0.641,0.191,0.088,0.722
Kiner-Falefa,Isiah,2019,84,0.067,78,0.031,100,0.449,0.185,0.073,0.741
Reynolds,Mark,2019,84,0.066,94,0.341,100,0.452,0.352,0.110,0.537
Gallagher,Cam,2019,84,0.064,73,0.009,104,0.798,0.161,0.093,0.746
Trevino,Jose,2019,84,0.064,86,0.124,91,0.041,0.222,0.035,0.743
Hamilton,Billy,2019,84,0.059,80,0.051,98,0.346,0.220,0.074,0.706
Demeritte,Travis,2019,84,0.058,93,0.308,96,0.212,0.331,0.086,0.582
Herrera,Rosell,2019,83,0.052,81,0.055,104,0.811,0.286,0.122,0.592
Owings,Chris,2019,83,0.050,93,0.332,94,0.098,0.328,0.071,0.601
Castro,Willi,2019,83,0.049,87,0.164,93,0.065,0.264,0.052,0.683
Smith,Mallex,2019,83,0.048,83,0.079,98,0.347,0.263,0.083,0.654
Kinsler,Ian,2019,83,0.044,74,0.013,101,0.559,0.170,0.078,0.752
Brinson,Lewis,2019,83,0.043,87,0.167,94,0.116,0.282,0.064,0.654
Arteaga,Humberto,2019,82,0.042,78,0.032,96,0.195,0.187,0.053,0.760
Kemp,Tony,2019,82,0.041,73,0.009,102,0.627,0.170,0.082,0.748
Goins,Ryan,2019,82,0.041,78,0.034,104,0.784,0.267,0.115,0.618
Martin,Leonys,2019,82,0.039,88,0.171,94,0.115,0.290,0.065,0.645
Hicks,John,2019,82,0.037,94,0.350,85,0.003,0.301,0.015,0.683
Starling,Bubba,2019,82,0.036,84,0.100,95,0.152,0.268,0.065,0.667
Martin Jr.,Richie,2019,81,0.031,83,0.073,93,0.088,0.252,0.053,0.696
Daza,Yonathan,2019,80,0.028,75,0.017,98,0.324,0.198,0.067,0.735
Hernandez,Marco,2019,80,0.027,88,0.182,89,0.014,0.291,0.037,0.672
Williamson,Mac,2019,79,0.022,86,0.142,94,0.101,0.319,0.070,0.612
Leon,Sandy,2019,78,0.021,71,0.005,100,0.469,0.192,0.076,0.732
Broxton,Keon,2019,78,0.019,98,0.478,95,0.164,0.425,0.101,0.473
Nido,Tomas,2019,78,0.017,85,0.105,91,0.040,0.297,0.051,0.653
Rogers,Jake,2019,76,0.013,78,0.036,98,0.313,0.303,0.089,0.608
Stassi,Max,2019,75,0.010,82,0.061,95,0.174,0.332,0.082,0.586
Gennett,Scooter,2019,75,0.009,74,0.014,91,0.033,0.208,0.030,0.762
Munoz,Yairo,2019,75,0.009,77,0.027,88,0.007,0.223,0.014,0.763
Viloria,Meibrys,2019,73,0.004,70,0.004,99,0.397,0.270,0.088,0.642
Mathis,Jeff,2019,68,0.001,77,0.026,91,0.029,0.338,0.057,0.606